campus,building_name,location,mercator_coordinates
SBU SOUTH,Nassau Hall,MULTIPOINT((40.906052549736295 -73.12128731937827)),MULTIPOINT ((-8139824.469408767 4998494.295900229))
SBU WEST,New York State Department of Environmental Conservation (DEC),MULTIPOINT((40.92162812393477 -73.12018241543095)),MULTIPOINT ((-8139701.472063994 5000788.692899361))
SBU WEST,Nobel Halls,MULTIPOINT((40.91271514017363 -73.12949044620831)),MULTIPOINT ((-8140737.637310275 4999475.678472896))
SBU WEST,O’Neill College,"MULTIPOINT((40.91863853197999 -73.12018828871692), (40.91768973553143 -73.11902332991981))","MULTIPOINT ((-8139702.125875197 5000348.262023874), (-8139572.4432551265 5000208.488165873))"
SBU EAST,Pain Management Center,MULTIPOINT((40.90571401079865 -73.11495160529427)),MULTIPOINT ((-8139119.180943223 4998444.432618235))
SBU WEST,"Parking, North P",MULTIPOINT((40.92137650214365 -73.12770952012748)),MULTIPOINT ((-8140539.385525844 5000751.622856762))
SBU SOUTH,"Parking, South P",MULTIPOINT((40.89758167626682 -73.12745955846981)),MULTIPOINT ((-8140511.559921397 4997246.700607918))
SBU WEST,Paul W. Zuccaire Gallery,MULTIPOINT((40.91581221007872 -73.12125941424385)),MULTIPOINT ((-8139821.363023415 4999931.902638725))
SBU WEST,Physics,"MULTIPOINT((40.91604324075051 -73.12589045453072), (40.91640888464476 -73.1263959055581))","MULTIPOINT ((-8140336.888069919 4999965.936235594), (-8140393.154620902 5000019.800222393))"
SBU EAST,Point of Woods Buildings,MULTIPOINT((40.914147377897514 -73.11497631263582)),MULTIPOINT ((-8139121.931351904 4999686.656349892))
SBU WEST,Pritchard Gymnasium,"MULTIPOINT((40.91714171299565 -73.12538130416968), (40.91780561190515 -73.12524579630733))","MULTIPOINT ((-8140280.209711 5000127.7560373265), (-8140265.125044767 5000225.558619487))"
SBU WEST,Psychology A,MULTIPOINT ((40.9145574642273 -73.12247735218344)),MULTIPOINT ((-8139956.943254649 4999747.06555942))
SBU WEST,Psychology B,MULTIPOINT ((40.91412685156592 -73.12203162233412)),MULTIPOINT ((-8139907.324834798 4999683.632656249))
SBU SOUTH,Putnam Hall,MULTIPOINT((40.905986759819505 -73.11995591877876)),MULTIPOINT ((-8139676.258572008 4998484.605706361))
SBU R&D,Research & Support Services (RSS),MULTIPOINT((40.895382470323256 -73.1426195063928)),MULTIPOINT ((-8142199.157604403 4996922.82637003))
SBU SOUTH,Rockland Hall,MULTIPOINT((40.90372071670681 -73.11982615726545)),MULTIPOINT ((-8139661.813586426 4998150.846203006))
SBU WEST,Roosevelt Quad,MULTIPOINT((40.911873863042395 -73.1302838483186)),MULTIPOINT ((-8140825.958429174 4999351.755042855))
SBU WEST,Roth Café,MULTIPOINT((40.91085221484643 -73.12412994215275)),MULTIPOINT ((-8140140.908728496 4999201.264365774))
SBU WEST,Roth Quad,MULTIPOINT((40.911552226371555 -73.12412745324038)),MULTIPOINT ((-8140140.631664039 4999304.377112965))
SBU WEST,Sanger College,MULTIPOINT((40.90960506009835 -73.12827047774432)),MULTIPOINT ((-8140601.831042098 4999017.559306509))
SBU WEST,Schick College,MULTIPOINT((40.91416700649239 -73.13106005184815)),MULTIPOINT ((-8140912.365010823 4999689.547800576))
SBU WEST,Schomburg Apartments,MULTIPOINT((40.91320366519435 -73.1324684637972)),MULTIPOINT ((-8141069.148711797 4999547.640853442))
SBU WEST,Schomburg Center,MULTIPOINT((40.91350737597942 -73.13277714573611)),MULTIPOINT ((-8141103.511028049 4999592.379364498))
SBU WEST,"Schomburg, Building A",MULTIPOINT((40.91348415565053 -73.13201311138666)),MULTIPOINT ((-8141018.459113331 4999588.958856585))
SBU WEST,"Schomburg, Building B",MULTIPOINT((40.91291163681365 -73.13292366304142)),MULTIPOINT ((-8141119.821259866 4999504.623427926))
SBU WEST,Service Group,MULTIPOINT((40.91606151235349 -73.12786453216586)),MULTIPOINT ((-8140556.64138702 4999968.627867565))
SBU WEST,Simons Center for Geometry and Physics,MULTIPOINT((40.915752071422226 -73.12691494746768)),MULTIPOINT ((-8140450.934101968 4999923.043510766))
SBU WEST,"Social and Behavioral Sciences, Ward Melville",MULTIPOINT((40.91313777821895 -73.12019380602808)),MULTIPOINT ((-8139702.740059467 4999537.935314218))
SBU WEST,"Social, Cognitive and Affective Neuroscience (SCAN) Center",MULTIPOINT((40.910804487101416 -73.11991114536723)),MULTIPOINT ((-8139671.274418637 4999194.234037124))
SBU WEST,Sports Complex,MULTIPOINT((40.91713872057912 -73.12540079498312)),MULTIPOINT ((-8140282.379418427 5000127.315210292))
SBU WEST,Staller Center for the Arts,MULTIPOINT(40.9158454704344 -73.12151762609525),MULTIPOINT ((-8139850.107035226 4999936.80228185))
SBU WEST,Stimson College,MULTIPOINT((40.9117468054808 -73.12919014006057)),MULTIPOINT ((-8140704.20738283 4999333.039101391))
SBU WEST,Stony Brook Union,"MULTIPOINT((40.91691625676335 -73.1222219222885), (40.917428766717855 -73.122088262735))","MULTIPOINT ((-8139928.508928816 5000094.543069153), (-8139913.630015383 5000170.043371774))"
SBU WEST,Student Activities Center (SAC),"MULTIPOINT((40.914540604495066 -73.12425712395593), (40.91444638847059 -73.12312569056573))","MULTIPOINT ((-8140155.066542063 4999744.581969866), (-8140029.115953216 4999730.703117298))"
SBU WEST,Student Health Center,MULTIPOINT((40.91939250397534 -73.12188144279943)),MULTIPOINT ((-8139890.606925472 5000459.3363561565))
SBU SOUTH,Suffolk Hall,MULTIPOINT((40.90522768298682 -73.12093435329638)),MULTIPOINT ((-8139785.17740427 4998372.80201127))
SBU SOUTH,Sullivan Hall,MULTIPOINT((40.90272787154765 -73.1202385033093)),MULTIPOINT ((-8139707.71573805 4998004.616265453))
SBU WEST,Tabler Center,MULTIPOINT((40.910120741573365 -73.12699673339064)),MULTIPOINT ((-8140460.038469265 4999093.5184223))
SBU WEST,Tabler Quad,MULTIPOINT((40.909429583081476 -73.12723257430395)),MULTIPOINT ((-8140486.292159638 4998991.711937487))
SBU WEST,Toscanini College,MULTIPOINT((40.91024101237281 -73.12836195266543)),MULTIPOINT ((-8140612.013983735 4999111.234217724))
SBU WEST,Tubman Hall,"MULTIPOINT((40.91704839538511 -73.11890292740476), (40.91700430442011 -73.11970312458729))","MULTIPOINT ((-8139559.040108462 5000114.008988088), (-8139648.117651343 5000107.513750657))"
SBU WEST,Van de Graaff Accelerator,MULTIPOINT((40.916087968000824 -73.12445255409341)),MULTIPOINT ((-8140176.8217254495 4999972.525111302))
SBU WEST,Wagner College,"MULTIPOINT((40.912321449307406 -73.13131556267308), (40.9126237903792 -73.13073531918086))","MULTIPOINT ((-8140940.808345743 4999417.686063678), (-8140876.2159356605 4999462.222212598))"
SBU WEST,Walter J. Hawrys Campus Recreation Center,"MULTIPOINT((40.91695670658157 -73.12391541550652), (40.91769414940939 -73.12368534306509))","MULTIPOINT ((-8140117.027731479 5000100.50190485), (-8140091.416184459 5000209.138400543))"
SBU WEST,West Apartment Complex,MULTIPOINT((40.91356840803637 -73.13553012613377)),MULTIPOINT ((-8141409.971404037 4999601.369795599))
SBU WEST,"West Apartments, Building A",MULTIPOINT((40.911663179431734 -73.13243229110643)),MULTIPOINT ((-8141065.121986279 4999320.720765315))
SBU WEST,"West Apartments, Building B",MULTIPOINT((40.91185489231128 -73.13394606899898)),MULTIPOINT ((-8141233.634970429 4999348.960597735))
SBU WEST,"West Apartments, Building C",MULTIPOINT((40.91207098314476 -73.13328043452186)),MULTIPOINT ((-8141159.536879392 4999380.791467727))
SBU WEST,"West Apartments, Building D",MULTIPOINT((40.91222670574045 -73.13273363655401)),MULTIPOINT ((-8141098.667608052 4999403.729967971))
SBU WEST,"West Apartments, Building E",MULTIPOINT((40.91230723547635 -73.13427306461358)),MULTIPOINT ((-8141270.035955734 4999415.592309836))
SBU WEST,"West Apartments, Building F",MULTIPOINT((40.9120355641327 -73.13529351936012)),MULTIPOINT ((-8141383.632458479 4999375.57412699))
SBU WEST,"West Apartments, Building G",MULTIPOINT((40.91307725683498 -73.13555627521541)),MULTIPOINT ((-8141412.88230649 4999529.02016671))
SBU WEST,"West Apartments, Building H",MULTIPOINT((40.91305719014613 -73.13479723656557)),MULTIPOINT ((-8141328.386510508 4999526.064229974))
SBU WEST,"West Apartments, Building I",MULTIPOINT((40.9133712192713 -73.13455778481155)),MULTIPOINT ((-8141301.730863186 4999572.322598629))
SBU WEST,"West Apartments, Building J",MULTIPOINT((40.91126130641494 -73.13525409871427)),MULTIPOINT ((-8141379.244172258 4999261.524034596))
SBU WEST,"West Apartments, Building K",MULTIPOINT((40.912394991746034 -73.13618138146572)),MULTIPOINT ((-8141482.468815956 4999428.519164561))
SBU WEST,West Side Dining,"MULTIPOINT((40.91305805034297 -73.13068292253531), (40.91305805034297 -73.12987675455405))","MULTIPOINT ((-8140870.38316776 4999526.19094181), (-8140780.640958604 4999526.19094181))"
SBU SOUTH,Westchester Hall,MULTIPOINT((40.90273263931234 -73.1201988756162)),MULTIPOINT ((-8139703.304403434 4998005.318474373))
SBU WEST,Whitman College,MULTIPOINT((40.910881327933154 -73.12294944995497)),MULTIPOINT ((-8140009.496938173 4999205.552745339))
SBU WEST,Yang Hall,MULTIPOINT((40.912270373645164 -73.12911842074372)),MULTIPOINT ((-8140696.223625001 4999410.162417596))
